"time","Mx","My","M_eliminated"
0,1,0.1,0
0.01,0.992235777713507,0.104775850967213,0.00298837131928083
0.02,0.984542813182415,0.109503606020852,0.0059535807967336
0.03,0.976920493945846,0.114183681110386,0.00889582494376787
0.04,0.969368360256546,0.118816388467359,0.0118152512760952
0.05,0.961885653113239,0.123402243557181,0.0147121033295795
0.06,0.954471651037807,0.127941736359633,0.01758661260256
0.07,0.94712570455932,0.132435307949575,0.0204389874911047
0.08,0.939847187659577,0.136883383472451,0.0232694288679715
0.09,0.932635479314624,0.141286384680257,0.0260781360051186
0.1,0.925489960590373,0.145644731904028,0.0288653075055989
0.11,0.918410016128364,0.149958843044793,0.0316311408268425
0.12,0.911395035586079,0.154229132595409,0.0343758318185115
0.13,0.904444414250483,0.158456011223894,0.0370995745256226
0.14,0.897557553136107,0.162639885706833,0.0398025611570589
0.15,0.890733858907045,0.166781158982372,0.0424849821105823
0.16,0.883972742900161,0.17088023081386,0.0451470262859784
0.17,0.877273622824403,0.174937496635294,0.0477888805403028
0.18,0.870635922618284,0.178953347648145,0.0504107297335707
0.19,0.864059071161452,0.182928171696752,0.0530127571417955
0.2,0.857542502170312,0.186862353339239,0.0555951444904488
0.21,0.851085654540508,0.190756273614826,0.058158071844666
0.22,0.844687972504793,0.19461030993657,0.0607017175586363
0.23,0.838348905565813,0.198424836137036,0.0632262582971501
0.24,0.832067908370456,0.202200222553666,0.0657318690758778
0.25,0.825844440625352,0.205936836086191,0.0682187232884571
0.26,0.819677967053894,0.209635040225834,0.0706869927202709
0.27,0.813567957363165,0.213295195077786,0.0731368475590486
0.28,0.807513886203511,0.216917657388665,0.0755684564078236
0.29,0.801515233121403,0.220502780578553,0.0779819863000445
0.3,0.795571482511335,0.22405091477367,0.0803776027149945
0.31,0.789682123574184,0.227562406834677,0.082755469591139
0.32,0.783846650265958,0.231037600391487,0.0851157493425543
0.33,0.778064561249372,0.234476835876178,0.0874586028744505
0.34,0.772335359856248,0.237880450548529,0.0897841895952232
0.35,0.766658554049676,0.24124877852174,0.0920926674285846
0.36,0.761033656378685,0.244582150793223,0.0943841928280926
0.37,0.75546018393061,0.24788089527697,0.0966589207924194
0.38,0.749937658287254,0.25114533683334,0.0989170048794056
0.39,0.744465605488219,0.254375797293969,0.101158597217812
0.4,0.739043555990549,0.257572595489192,0.103383848520259
0.41,0.733671044625015,0.260736047277748,0.105592908097237
0.42,0.728347610554052,0.263866465575356,0.107785923870591
0.43,0.723072797231721,0.266964160381923,0.109963042386356
0.44,0.717846152364389,0.270029438808254,0.112124408827357
0.45,0.712667227871413,0.273062605102769,0.114270167025818
0.46,0.707535579845851,0.276063960678198,0.116400459475951
0.47,0.702450768519277,0.279033804135486,0.118515427345238
0.48,0.69741235821757,0.281972431293831,0.120615210488599
0.49,0.692419917318891,0.284880135219241,0.122699947461868
0.5,0.687473018220994,0.287757206246739,0.124769775532267
0.51,0.682571237308625,0.290603932002517,0.126824830688859
0.52,0.6777141549147,0.293420597430311,0.128865247654989
0.53,0.6729013552794,0.296207484819197,0.130891159901403
0.54,0.668132426512386,0.298964873829262,0.132902699658352
0.55,0.663406960561153,0.301693041513105,0.134899997925742
0.56,0.65872455317628,0.30439226233945,0.13688318448427
0.57,0.65408480387381,0.307062808218704,0.138852387907486
0.58,0.649487315899059,0.309704948527551,0.140807735573391
0.59,0.644931696192136,0.312318950132373,0.142749353675492
0.6,0.640417555354097,0.314905077412254,0.144677367233649
0.61,0.635944507613088,0.317463592281979,0.146591900104934
0.62,0.63151217079052,0.319994754215017,0.148493074994463
0.63,0.627120166270778,0.322498820264104,0.150381013465118
0.64,0.622768118963165,0.324976045087099,0.152255835949737
0.65,0.618455657265712,0.327426680971571,0.154117661762718
0.66,0.614182413037044,0.329850977853918,0.155966609109038
0.67,0.609948021568309,0.33224918333844,0.157802795093252
0.68,0.605752121549756,0.334621542720043,0.159626335730202
0.69,0.60159435503552,0.33696829900817,0.161437345956311
0.7,0.597474367411085,0.339289692948906,0.163235939640009
0.71,0.593391807366052,0.341585963043484,0.165022229590465
0.72,0.589346326864206,0.343857345568616,0.166796327567179
0.73,0.58533758111114,0.346104074598497,0.168558344290363
0.74,0.581365228523093,0.34832638202598,0.170308389450928
0.75,0.577428930697263,0.350524497582735,0.172046571720003
0.76,0.573528352382672,0.352698648859058,0.17377299875827
0.77,0.569663161451013,0.354849061323673,0.175487777225315
0.78,0.565833028867532,0.356975958343513,0.177191012788955
0.79,0.562037628664953,0.359079561201444,0.178882810133603
0.8,0.558276637910703,0.361160089118528,0.180563272970769
0.81,0.554549736675776,0.36321775927518,0.182232504049044
0.82,0.550856608010488,0.365252786827642,0.183890605161871
0.83,0.547196937920309,0.367265384924403,0.185537677155289
0.84,0.543570415337106,0.369255764725737,0.187173819937158
0.85,0.539976732088828,0.371224135424303,0.188799132486869
0.86,0.536415582871489,0.37317070426418,0.190413712864332
0.87,0.532886665225706,0.375095676556804,0.19201765821749
