"PFAS","HFPO-DA","PFBS","PFDA","PFHpA","PFHxA","PFHxS","PFNA","PFOA","PFOS","PFUnDA","9CL-9F3ONS"
"Kidney",1.35380216523307,0.438104109136513,0.826144700894509,0.554298406097405,0.505758374297595,0.448001175828989,0.627663989489639,0.413283707125888,1.04433476929069,0.446438051341158,0.820634242191839
"Liver",1.42150731540502,0.442709613538346,0.78210161237337,0.575452047371343,0.51926754720634,0.483808010768359,0.611901813936057,0.434698291544763,0.992733407008544,0.385694343193492,0.753567565831295
"Lump",0.489463024104986,0.51824864835907,0.874784548000038,0.689047763145549,0.673834698644076,0.550090044916302,0.682886995652916,0.534206103089267,1.08265401714057,0.543995320811118,0.901931065310409
