"","Substance","Time","Cumulative_added_PFAS","Feeding_period","Depuration_period","Liver","Blood","Skin","Muscle","Gills","Kidney","Carcass"
"2","PFOS",168,31.89875,168,0,0.830823639709476,1.38763354478694,0.90292448606274,6.33380475405458,0.282162570662803,0.387886871470192,1.21175242872667
"3","PFOS",336,71.55525,336,0,1.77494859728015,2.2232341405862,1.64285632165889,7.88410099923322,0.405303825945159,0.828126601896188,2.06370206881962
"4","PFOS",672,174.1415,672,0,3.64129307039244,4.90815621350999,3.97435328308306,19.3206927506931,0.773400054416226,1.67478611931185,5.36415944672713
"5","PFOS",744,174.1415,0,72,3.04434449471394,4.2496792295244,3.0648178105121,10.0040544902623,0.678865010736078,1.41900624777505,3.78242774421657
"6","PFOS",840,174.1415,0,168,2.81046427664024,2.98478876239452,3.29988906546057,7.60247039805826,0.759248206629962,1.13640313867298,4.47210582059293
"7","PFOS",1008,174.1415,0,336,1.70242480749234,2.08488007485222,1.48099931246071,4.9763240339927,0.445933966233817,0.649346977861954,2.06218397990548
"8","PFOS",1344,174.1415,0,672,1.81240817818137,1.06702544228218,0.8950234090069,1.93492418463787,0.341851314160045,0.387848362609996,1.19708227862742
