"time","AR","AAdi","ABra","AGon","AHea","ALun","AMus","ASki","ASpl","APan","Adif","A_baso","AKb","ACl","Aefflux","A_apical","APTC","Afil","Aurine","ALumen","AGI","AabsLumen","Afeces","AL","Abile","Aplas_free","ingestion","amount_per_gram_liver","Atissue","Aloss","Atotal","CR","CR_free","CVR","CAdi","CAdi_free","CVAdi","CBra","CBra_free","CVBra","CGon","CGon_free","CVGon","CHea","CVHea","CHea_free","CLun","CVLun","CLun_free","CMus","CVMus","CMus_free","CSki","CVSki","CSki_free","CSpl","CVSpl","CSpl_free","Cpan","CVPan","Cpan_free","CKb","CVK","CPTC","Cfil","CL","CVL","CL_free","CGI","CVGI","CGI_free","CA_free","CA"
30,0.0557186679109715,0.0950302009196707,0.0276480224243805,0.00176977150289767,0.0200251835947295,0.0523974643320636,0.30469532811294,0.0332746729012578,0.00857066270496113,0.00459677881229817,-5.44065797571899,579.349564049574,0.00300008289586062,553.330172348375,722.497465393423,148.592053841666,0.00349452205109639,0.0745693462994755,404.663549160418,0.00231618909527919,0.00526345897210979,423.748572183927,18.3196258670341,0.0885216938020461,18.3055142400379,0.000932944706215384,14.1255,3.77041033316492e-05,0.781824991038254,422.983175027452,423.76500001849,0.00103454074559588,2.53462482670991e-06,0.103454074559588,0.00516356231904318,1.26507276816558e-05,0.103454074559588,0.0160744316420817,3.93823575231001e-05,0.103454074559588,0.0411574768115737,0.000100835818188356,0.103454074559588,0.0465701944063477,0.103454074559588,0.000114096976295552,0.0761591051338133,0.103454074559588,0.000186589807577843,0.00885742232886454,0.103454074559588,2.17006847057181e-05,0.0104571567885788,0.103454074559588,2.56200341320181e-05,0.0498294343311694,0.103454074559588,0.000122082114111365,0.0267254582110359,0.103454074559588,6.54773726170379e-05,0.0545073200556072,0.0545073200556072,0.0752481061820928,2.16771355521731,0.0395893084982317,0.115514375996903,9.69938058206677e-05,0.00437164366454301,0.124883773622883,1.07105269781304e-05,0.000253462482670991,0.103454074559588
30,0.0260024437931622,0.0443481072091475,0.0129026083364151,0.000825906033941194,0.00934522899401867,0.0244525250204416,0.142193333766613,0.0155284188278386,0.00399970393427193,0.00214519634402183,-2.53909623525345,270.367385551329,0.00140006006700562,258.224696262098,337.173687680677,69.3470291813232,0.00163081672023167,0.0347990067598456,188.842868074014,0.00108088824446362,0.00245631205924495,197.749333685832,8.54927517329738,0.0413106884969213,8.54268974744461,0.000435380873143901,6.5919,1.75954887541193e-05,0.364856625480729,197.392143247312,197.756999872792,0.000482793085291907,1.18284305896517e-06,0.0482793085291907,0.00240969937019928,5.90376345698823e-06,0.0482793085291907,0.00750151647465991,1.83787153629168e-05,0.0482793085291907,0.0192071170683999,4.70574368175797e-05,0.0482793085291907,0.0217330906837644,0.0482793085291907,5.32460721752227e-05,0.0355414607855256,0.0482793085291907,8.70765789245377e-05,0.00413352714437829,0.0482793085291907,1.01271415037268e-05,0.00488008134124406,0.0482793085291907,1.19561992860479e-05,0.0232540926411159,0.0482793085291907,5.69725269707339e-05,0.0124720717675688,0.0482793085291907,3.05565758305435e-05,0.0254371378453056,0.0254371378453056,0.0351166391092091,1.01159903371644,0.0184752631918253,0.0539074457205427,4.52643948199719e-05,0.00204012629505395,0.0582798347587283,4.99830942288217e-06,0.000118284305896517,0.0482793085291907
30,0.0210496511620579,0.0359009404606647,0.010444995352076,0.000668592307915017,0.00756520471377275,0.0197949518055353,0.115109183473915,0.0125706568976524,0.00323786384224679,0.00173659195554749,-2.05547539161134,218.869410472407,0.00113338484411079,209.039573010315,272.951235504911,56.1386206144442,0.00132019032921563,0.0281706216170975,152.872781774254,0.000875004769327695,0.00198844730614347,160.08279393615,6.92085752804452,0.0334420621239858,6.9155264689697,0.000352452083935328,5.3363,1.42439995416926e-05,0.2953607950452,159.793639302299,160.089000097344,0.000390833496639294,9.57542066766269e-07,0.0390833496639294,0.00195071400025346,4.77924930062099e-06,0.0390833496639294,0.00607267171632325,1.4878045704992e-05,0.0390833496639294,0.0155486583236051,3.80942128928324e-05,0.0390833496639294,0.0175934993343552,0.0390833496639294,4.31040733691703e-05,0.0287717322754874,0.0390833496639294,7.04907440749441e-05,0.00334619719400916,0.0390833496639294,8.19818312532243e-06,0.00395055213628297,0.0390833496639294,9.67885273389327e-06,0.0188247897805046,0.0390833496639294,4.61207349622363e-05,0.0100964648578343,0.0390833496639294,2.47363389016939e-05,0.0205920211502687,0.0205920211502687,0.0284278709994753,0.818913419101671,0.0149561995187772,0.0436394602541212,3.66426888210041e-05,0.00165153430742813,0.0471790137545074,4.04625905319892e-06,9.57542066766269e-05,0.0390833496639294
30,0.198096265943374,0.337860337654061,0.09829685827629,0.00629205864822888,0.0711954223544045,0.186288409580571,1.08328158250315,0.118301256999872,0.0304712288029883,0.0163429017997858,-19.3400902952984,2059.75423658612,0.0106661810490735,1967.25203074371,2568.58045624475,528.178733470032,0.0124235161120841,0.265136238648861,1438.80816103503,0.00823533900543713,0.0187133819215528,1506.66158998728,65.1321978152563,0.314723190270108,65.0820231415698,0.00331689305509248,50.224,0.000134050255673443,2.77964106262493,1503.94035885029,1506.71999991291,0.00367809688121535,9.01133735897761e-06,0.367809688121535,0.018357984006415,4.49770608157166e-05,0.367809688121535,0.0571493362071453,0.000140015873707506,0.367809688121535,0.146326945307648,0.000358501016003738,0.367809688121535,0.165570749661406,0.367809688121535,0.000405648336670444,0.270768037181063,0.367809688121535,0.000663381691093605,0.0314907436774171,0.367809688121535,7.71523220096718e-05,0.0371782705844977,0.367809688121535,9.10867629320193e-05,0.177158306994118,0.367809688121535,0.000434037852135589,0.0950168709289873,0.367809688121535,0.000232791333776019,0.19378962661834,0.19378962661834,0.267517573472956,7.707448797932,0.140752768457115,0.410690886881401,0.000344844282719931,0.0155426760145787,0.444004173679917,3.80795562357178e-05,0.000901133735897761,0.367809688121535
30,0.000362522035053991,0.000888168683532349,6.19265030558268e-05,1.38198224629509e-05,0.000154860499672199,0.000370966539263713,0.00297229875016631,0.000821912034390622,6.73532846074287e-05,5.79955811048965e-05,-0.0273440175633833,0.0273728544997329,2.84434946908656e-05,55.9280025198021,0,0,2.88369363495944e-05,0.0102882913717925,55.9177142284303,0.000305736960576854,0.000432714609539217,55.9348115282792,0.00186273476127194,0.000453044891298394,0,9.41471334288971e-05,1.864566,1.92965708875711e-07,0.0174030391309866,55.9195769631916,55.9369800023226,6.73102625208029e-06,2.55778997579051e-07,0.000673102625208029,4.82595459428575e-05,1.83386274582858e-06,0.000673102625208029,3.60037808464109e-05,1.36814367216362e-06,0.000673102625208029,0.000321391220068626,1.22128663626078e-05,0.000673102625208029,0.000360140696912091,0.000673102625208029,1.36853464826595e-05,0.000539195551255397,0.000673102625208029,2.04894309477051e-05,8.64040334350671e-05,0.000673102625208029,3.28335327053255e-06,0.000258300450782722,0.000673102625208029,9.81541712974345e-06,0.000391588863996679,0.000673102625208029,1.48803768318738e-05,0.00033718361107498,0.000673102625208029,1.28129772208492e-05,0.000516778609935784,0.000516778609935784,0.000620950395124772,0.299078237552107,0.000202613994319496,0.00078038381215957,7.69933178414086e-06,0.000359397516228585,0.000855480643025649,1.36571056166862e-05,2.55778997579051e-05,0.000673102625208029
30,0.00116418392363613,0.00288211158367035,5.03020104911417e-05,4.83391936260607e-05,0.000533854712175189,0.00123299441292821,0.0102539961475665,0.00269078502502304,0.000228460240252363,0.000198996542188851,0.39229811828771,0.390669261521078,9.03236910305376e-05,21.2464982229445,1.80451264416714,1.0215520696638,6.80530544381959e-06,0.00372439322336744,20.2212217600573,0.000113235911324761,0.00149988770282811,20.716596862326,0.468220478252923,0.00320328619957721,0.467530576496481,3.58033123131478e-05,0.69058,1.364377800314e-06,0.0279577591374429,20.6894422383103,20.7173999974477,2.16156586207997e-05,9.72704637935988e-08,0.00216156586207997,0.000156602455100541,7.04711047952434e-07,0.00216156586207997,2.92453549367103e-05,1.31604097215196e-07,0.00216156586207997,0.00112416729362932,5.05875282133193e-06,0.00216156586207997,0.00124152258645393,0.00216156586207997,5.58685163904268e-06,0.00179214304204681,0.00216156586207997,8.06464368921066e-06,0.000298081283359492,0.00216156586207997,1.34136577511771e-06,0.000845626972037412,0.00216156586207997,3.80532137416835e-06,0.00132825721076955,0.00216156586207997,5.97715744846299e-06,0.00115695664063285,0.00216156586207997,5.20630488284784e-06,0.00164105543296762,0.00164105543296762,0.000146539738239009,0.108267244865332,0.0014325966903297,0.00248951532590465,6.44668510648365e-06,0.00124575390600342,0.00273196624702397,5.60589257701538e-06,9.72704637935987e-06,0.00216156586207997
30,0.0856816044896946,0.146133071644596,0.0425158570925116,0.00272147320877627,0.0307938061860822,0.0805744103993329,0.468546459777981,0.0511682613734587,0.0131795708625772,0.0070687150086082,-8.36611589213126,890.89674494908,0.00461338977024723,850.885720955784,1111.01328924715,228.488033856464,0.00537366624884791,0.114671155116419,622.283015944203,0.00356178411985156,0.00809392656688983,651.6311376695,28.1711266711703,0.13612481739621,28.1494261244028,0.00143463945434634,21.72188,5.79797331102352e-05,1.20225660871643,650.454142615373,651.656399224089,0.00159086917035154,3.89762946736128e-06,0.159086917035154,0.00794028861359465,1.94537071033069e-05,0.159086917035154,0.0247185215654137,6.05603778352636e-05,0.159086917035154,0.0632900746227038,0.000155060682825624,0.159086917035154,0.0716135027583308,0.159086917035154,0.00017545308175791,0.117113968603681,0.159086917035154,0.00028692922307902,0.0136205366214529,0.159086917035154,3.33703147225597e-05,0.0160805346868192,0.159086917035154,3.9397309982707e-05,0.076625411991728,0.159086917035154,0.000187732259379734,0.0410971802826058,0.159086917035154,0.000100688091692384,0.0838188548373406,0.0838188548373406,0.115712020862358,3.3334638115238,0.060878719765747,0.177632992138387,0.00014915286342608,0.00672253037117096,0.192041032039154,1.64701994093688e-05,0.000389762946736128,0.159086917035154
30,0.0110803593460099,0.0614248731555427,0.00561448411054862,0.000558625469854036,0.00540348371465096,0.020079572952702,0.00518710428606865,0.041610378767935,2.95865445979058e-05,2.89906528298449e-05,-3.15153248768783,161.664735545484,0.000372169161497388,83.8419854168697,189.22466212898,30.7123319517789,0.000872880595291097,0.00980543281619031,53.1198480322746,0.000351031325106758,0.000239873372156126,64.2214502732082,10.8793090986809,0.0619824224540834,10.8771704033415,0.00014160694290187,2.140798,2.64002140105986e-05,0.224782875667967,63.9991571309555,64.2239400066235,0.000205731465755918,3.84717840963567e-07,0.0205731465755918,0.00333758276220076,6.24127976531541e-06,0.0205731465755918,0.00326423494799338,6.10411935274762e-06,0.0205731465755918,0.0129912899966055,2.42937122936523e-05,0.0205731465755918,0.0125662411968627,0.0205731465755918,2.34988710381332e-05,0.0291854258033459,0.0205731465755918,5.45767462522568e-05,0.000150787915292693,0.0205731465755918,2.81973401597336e-07,0.0130768003670443,0.0205731465755918,2.44536166863729e-05,0.000172014794173871,0.0205731465755918,3.21667665105139e-07,0.000168550307150261,0.0205731465755918,3.15189074370989e-07,0.00676179435860079,0.00676179435860079,0.018795878451574,0.285041651633439,0.0277202247111285,0.0226508763962649,5.18368202098104e-05,0.000199230375544955,0.0248282724418853,3.72560802269066e-07,3.84717840963567e-05,0.0205731465755918
30,0.0317000509695219,0.249035785789934,0.0230961206864525,0.00207793966218289,0.018883088598842,0.03026941605749,0.387341591542252,0.162624131637749,0.00780759559363638,0.00599426003705098,9.98510317475801,1.92223617688784,0.00237340113466436,78.7330030825513,14.4215942373164,2.51447473822148,0.000219852550901666,0.0141636390585866,76.2043647052571,0.000550738295988608,0.0393109748280869,100.757993830401,23.5522456514602,0.0297028085469825,23.5488902202515,0.000133886728860895,3.35873,1.26513368033829e-05,1.00528528171918,99.7566103567173,100.761895638436,0.000588581809203286,3.63743558087631e-07,0.0588581809203286,0.0135316119207745,8.36253616703865e-06,0.0588581809203286,0.0134279771432863,8.29848987455094e-06,0.0588581809203286,0.0483241781902998,2.98643421216053e-05,0.0588581809203286,0.0439141595321907,0.0588581809203286,2.71389505908938e-05,0.0439962442696076,0.0588581809203286,2.71896789586175e-05,0.0112599299866934,0.0588581809203286,6.95863673177651e-06,0.0511075209420958,0.0588581809203286,3.15844479422152e-05,0.0453929976374208,0.0588581809203286,2.8052872539926e-05,0.034850349052622,0.0588581809203286,2.15375157145204e-05,0.043121386894338,0.043121386894338,0.00473412038978609,0.411733693563564,0.0132839036435521,0.0679395282645299,8.20945245171519e-06,0.032650311319009,0.0790588123818271,2.01778923951476e-05,3.63743558087631e-05,0.0588581809203286
30,0.00830890046798013,0.0178276665297006,0.00104400024878564,0.000282272226550386,0.00330548094531407,0.00834612973398603,0.0623778418261393,0.015455802260279,0.00138999129709119,0.000943172129017507,-6.75867247852437,70.8066157881884,0.000111034073542335,23.3515565451006,69.8028580364662,5.75620769467209,0.00129296786996595,0.00324949508423405,17.5920993553443,0.000192501049252093,0.00488848784052277,35.2182146659538,17.4937521060868,0.00467334637195978,17.4925792730893,3.94654861112855e-05,1.173986,1.99052149755507e-06,0.133728555440432,35.0858514614311,35.2195800168715,0.000154273180022194,1.07219860115425e-07,0.0154273180022194,0.000968684336541002,6.73235613895996e-07,0.0154273180022194,0.000606976888828858,4.21848937736057e-07,0.0154273180022194,0.00656447038489269,4.56230691750042e-06,0.0154273180022194,0.00768716498910249,0.0154273180022194,5.34257966742623e-06,0.0121310025203285,0.0154273180022194,8.43104675162833e-06,0.00181330935541103,0.0154273180022194,1.26025000201066e-06,0.00485726029549936,0.0154273180022194,3.37579590537205e-06,0.00808134475053015,0.0154273180022194,5.61653460161845e-06,0.00548355888963667,0.0154273180022194,3.81107342829749e-06,0.00201733418499881,0.00201733418499881,0.0278416853997835,0.0944620664021527,0.00209004757243282,0.0172799748709645,1.45258306284081e-06,0.00406020584761027,0.021705825836495,2.82184306408914e-06,1.07219860115425e-05,0.0154273180022194
