46000 [2.56e+00, 1.97e-01, 8.46e-01, 4.71e-01, 6.00e-01, 1.86e-01, 8.63e-01]
47000 [2.55e+00, 1.96e-01, 8.42e-01, 4.70e-01, 5.94e-01, 1.85e-01, 8.65e-01]
48000 [2.54e+00, 1.95e-01, 8.37e-01, 4.69e-01, 5.89e-01, 1.85e-01, 8.66e-01]
49000 [2.53e+00, 1.95e-01, 8.33e-01, 4.68e-01, 5.84e-01, 1.85e-01, 8.68e-01]
50000 [2.53e+00, 1.94e-01, 8.29e-01, 4.67e-01, 5.79e-01, 1.84e-01, 8.68e-01]
51000 [2.52e+00, 1.94e-01, 8.26e-01, 4.68e-01, 5.75e-01, 1.84e-01, 8.67e-01]
52000 [2.51e+00, 1.94e-01, 8.23e-01, 4.67e-01, 5.70e-01, 1.84e-01, 8.66e-01]
53000 [2.51e+00, 1.93e-01, 8.19e-01, 4.66e-01, 5.65e-01, 1.84e-01, 8.66e-01]
54000 [2.50e+00, 1.92e-01, 8.16e-01, 4.65e-01, 5.61e-01, 1.83e-01, 8.66e-01]
55000 [2.49e+00, 1.92e-01, 8.12e-01, 4.65e-01, 5.57e-01, 1.83e-01, 8.67e-01]
56000 [2.53e+00, 2.17e-01, 8.03e-01, 5.04e-01, 5.53e-01, 1.97e-01, 8.43e-01]
57000 [2.58e+00, 2.31e-01, 8.04e-01, 5.09e-01, 5.50e-01, 2.00e-01, 8.39e-01]
58000 [2.59e+00, 2.31e-01, 8.07e-01, 5.06e-01, 5.45e-01, 2.00e-01, 8.36e-01]
59000 [2.61e+00, 2.29e-01, 8.11e-01, 5.07e-01, 5.42e-01, 1.99e-01, 8.33e-01]
60000 [2.62e+00, 2.23e-01, 8.13e-01, 4.98e-01, 5.38e-01, 1.95e-01, 8.34e-01]
61000 [2.60e+00, 2.21e-01, 8.14e-01, 4.94e-01, 5.33e-01, 1.93e-01, 8.35e-01]
62000 [2.64e+00, 2.04e-01, 8.16e-01, 4.86e-01, 5.33e-01, 1.92e-01, 8.31e-01]
63000 [2.59e+00, 1.98e-01, 8.16e-01, 4.71e-01, 5.30e-01, 1.86e-01, 8.25e-01]
64000 [2.54e+00, 2.02e-01, 8.16e-01, 4.68e-01, 5.27e-01, 1.87e-01, 8.23e-01]
65000 [2.52e+00, 1.94e-01, 8.14e-01, 4.62e-01, 5.24e-01, 1.82e-01, 8.20e-01]
66000 [2.49e+00, 1.92e-01, 8.11e-01, 4.56e-01, 5.21e-01, 1.80e-01, 8.18e-01]
67000 [2.47e+00, 1.90e-01, 8.07e-01, 4.52e-01, 5.18e-01, 1.79e-01, 8.15e-01]
68000 [2.45e+00, 1.88e-01, 8.03e-01, 4.50e-01, 5.15e-01, 1.78e-01, 8.11e-01]
69000 [2.44e+00, 1.87e-01, 8.01e-01, 4.48e-01, 5.12e-01, 1.77e-01, 8.10e-01]
70000 [2.43e+00, 1.87e-01, 7.97e-01, 4.47e-01, 5.09e-01, 1.76e-01, 8.06e-01]
71000 [2.42e+00, 1.86e-01, 7.93e-01, 4.46e-01, 5.06e-01, 1.76e-01, 8.04e-01]
72000 [2.41e+00, 1.86e-01, 7.90e-01, 4.44e-01, 5.03e-01, 1.75e-01, 8.01e-01]
73000 [2.40e+00, 1.85e-01, 7.86e-01, 4.44e-01, 5.00e-01, 1.75e-01, 7.97e-01]
74000 [2.40e+00, 1.84e-01, 7.84e-01, 4.42e-01, 4.98e-01, 1.74e-01, 7.96e-01]
75000 [2.40e+00, 1.84e-01, 7.81e-01, 4.42e-01, 4.95e-01, 1.74e-01, 7.92e-01]
76000 [2.39e+00, 1.84e-01, 7.79e-01, 4.41e-01, 4.92e-01, 1.74e-01, 7.92e-01]
77000 [2.39e+00, 1.83e-01, 7.75e-01, 4.41e-01, 4.89e-01, 1.74e-01, 7.89e-01]
78000 [2.39e+00, 1.84e-01, 7.73e-01, 4.40e-01, 4.89e-01, 1.73e-01, 7.94e-01]
79000 [2.38e+00, 1.83e-01, 7.71e-01, 4.38e-01, 4.86e-01, 1.73e-01, 7.94e-01]
80000 [2.37e+00, 1.82e-01, 7.68e-01, 4.37e-01, 4.83e-01, 1.72e-01, 7.94e-01]
81000 [2.36e+00, 1.82e-01, 7.66e-01, 4.36e-01, 4.80e-01, 1.72e-01, 7.92e-01]
82000 [2.36e+00, 1.83e-01, 7.64e-01, 4.37e-01, 4.78e-01, 1.72e-01, 7.90e-01]
83000 [2.35e+00, 1.82e-01, 7.63e-01, 4.33e-01, 4.76e-01, 1.71e-01, 7.90e-01]
84000 [2.35e+00, 1.81e-01, 7.61e-01, 4.35e-01, 4.74e-01, 1.72e-01, 7.92e-01]
85000 [2.35e+00, 1.81e-01, 7.58e-01, 4.36e-01, 4.71e-01, 1.72e-01, 7.91e-01]
86000 [2.34e+00, 1.81e-01, 7.56e-01, 4.36e-01, 4.69e-01, 1.72e-01, 7.92e-01]
87000 [2.34e+00, 1.81e-01, 7.56e-01, 4.36e-01, 4.68e-01, 1.72e-01, 7.95e-01]
88000 [2.34e+00, 1.80e-01, 7.54e-01, 4.36e-01, 4.65e-01, 1.72e-01, 7.96e-01]
89000 [2.34e+00, 1.80e-01, 7.52e-01, 4.36e-01, 4.63e-01, 1.71e-01, 8.06e-01]
90000 [2.34e+00, 1.81e-01, 7.52e-01, 4.32e-01, 4.64e-01, 1.70e-01, 8.10e-01]
91000 [2.35e+00, 1.80e-01, 7.51e-01, 4.33e-01, 4.62e-01, 1.70e-01, 8.10e-01]
92000 [2.34e+00, 1.80e-01, 7.49e-01, 4.32e-01, 4.60e-01, 1.70e-01, 8.11e-01]
93000 [2.34e+00, 1.80e-01, 7.47e-01, 4.31e-01, 4.57e-01, 1.70e-01, 8.10e-01]
94000 [2.34e+00, 1.80e-01, 7.46e-01, 4.33e-01, 4.55e-01, 1.71e-01, 8.07e-01]
95000 [2.34e+00, 1.80e-01, 7.46e-01, 4.31e-01, 4.54e-01, 1.70e-01, 8.07e-01]
96000 [2.30e+00, 2.01e-01, 7.45e-01, 4.41e-01, 4.55e-01, 1.72e-01, 8.18e-01]
97000 [2.28e+00, 2.04e-01, 7.45e-01, 4.46e-01, 4.52e-01, 1.76e-01, 8.23e-01]
98000 [2.28e+00, 2.04e-01, 7.46e-01, 4.46e-01, 4.50e-01, 1.76e-01, 8.25e-01]
