0 [1.00e+00]
1000 [1.01e+00]
2000 [1.01e+00]
3000 [1.02e+00]
4000 [1.02e+00]
5000 [1.02e+00]
6000 [1.02e+00]
7000 [1.02e+00]
8000 [1.02e+00]
9000 [1.03e+00]
10000 [1.03e+00]
11000 [1.03e+00]
12000 [1.03e+00]
13000 [1.03e+00]
14000 [1.03e+00]
15000 [1.03e+00]
16000 [1.04e+00]
17000 [1.04e+00]
18000 [1.04e+00]
19000 [1.04e+00]
20000 [1.04e+00]
21000 [1.04e+00]
22000 [1.05e+00]
23000 [1.05e+00]
24000 [1.05e+00]
25000 [1.05e+00]
26000 [1.05e+00]
27000 [1.06e+00]
28000 [1.06e+00]
29000 [1.06e+00]
30000 [1.06e+00]
31000 [1.06e+00]
32000 [1.07e+00]
33000 [1.07e+00]
34000 [1.07e+00]
