0 [1.00e+00, 1.00e+00, 1.00e+00]
600 [3.92e-01, 1.20e+00, 4.77e-01]
1200 [2.48e-01, 1.61e+00, 2.77e-01]
1800 [3.14e-01, 2.22e+00, 1.97e-01]
2400 [3.96e-01, 2.97e+00, 1.52e-01]
3000 [4.20e-01, 3.68e+00, 1.39e-01]
3600 [4.49e-01, 4.37e+00, 1.33e-01]
4200 [4.80e-01, 5.04e+00, 1.31e-01]
4800 [5.07e-01, 5.71e+00, 1.30e-01]
5400 [5.38e-01, 6.36e+00, 1.30e-01]
6000 [5.67e-01, 7.02e+00, 1.26e-01]
6600 [5.97e-01, 7.68e+00, 1.24e-01]
7200 [6.34e-01, 8.35e+00, 1.36e-01]
7800 [6.84e-01, 9.06e+00, 1.78e-01]
8400 [1.77e+00, 1.02e+01, 1.36e+00]
9000 [2.81e+00, 1.09e+01, 1.98e+00]
9600 [3.60e+00, 1.15e+01, 2.36e+00]
10200 [4.24e+00, 1.20e+01, 2.60e+00]
10800 [4.81e+00, 1.25e+01, 2.74e+00]
11400 [5.32e+00, 1.29e+01, 2.80e+00]
12000 [5.82e+00, 1.33e+01, 2.82e+00]
12600 [6.34e+00, 1.37e+01, 2.81e+00]
13200 [6.82e+00, 1.40e+01, 2.79e+00]
13800 [7.27e+00, 1.43e+01, 2.76e+00]
14400 [7.68e+00, 1.45e+01, 2.73e+00]
15000 [8.07e+00, 1.47e+01, 2.71e+00]
15600 [8.43e+00, 1.48e+01, 2.70e+00]
16200 [8.75e+00, 1.49e+01, 2.69e+00]
16800 [9.03e+00, 1.49e+01, 2.68e+00]
17400 [9.28e+00, 1.49e+01, 2.68e+00]
18000 [9.47e+00, 1.49e+01, 2.68e+00]
18600 [9.62e+00, 1.50e+01, 2.67e+00]
19200 [9.73e+00, 1.50e+01, 2.67e+00]
19800 [9.80e+00, 1.50e+01, 2.67e+00]
20400 [9.85e+00, 1.50e+01, 2.67e+00]
21000 [9.87e+00, 1.50e+01, 2.67e+00]
21600 [9.89e+00, 1.50e+01, 2.67e+00]
22200 [9.90e+00, 1.50e+01, 2.67e+00]
22800 [9.91e+00, 1.50e+01, 2.67e+00]
23400 [9.92e+00, 1.50e+01, 2.67e+00]
24000 [9.92e+00, 1.50e+01, 2.67e+00]
24600 [9.93e+00, 1.50e+01, 2.67e+00]
25200 [9.93e+00, 1.50e+01, 2.67e+00]
25800 [9.93e+00, 1.50e+01, 2.67e+00]
26400 [9.94e+00, 1.50e+01, 2.67e+00]
27000 [9.94e+00, 1.50e+01, 2.67e+00]
27600 [9.94e+00, 1.50e+01, 2.67e+00]
28200 [9.95e+00, 1.50e+01, 2.67e+00]
28800 [9.95e+00, 1.50e+01, 2.67e+00]
29400 [9.95e+00, 1.50e+01, 2.67e+00]
30000 [9.95e+00, 1.50e+01, 2.67e+00]
30600 [9.95e+00, 1.50e+01, 2.67e+00]
31200 [9.96e+00, 1.50e+01, 2.67e+00]
31800 [9.96e+00, 1.50e+01, 2.67e+00]
32400 [9.96e+00, 1.50e+01, 2.67e+00]
33000 [9.96e+00, 1.50e+01, 2.67e+00]
33600 [9.96e+00, 1.50e+01, 2.67e+00]
34200 [9.96e+00, 1.50e+01, 2.67e+00]
34800 [9.97e+00, 1.50e+01, 2.67e+00]
35400 [9.97e+00, 1.50e+01, 2.67e+00]
36000 [9.97e+00, 1.50e+01, 2.67e+00]
36600 [9.97e+00, 1.50e+01, 2.67e+00]
37200 [9.97e+00, 1.50e+01, 2.67e+00]
37800 [9.97e+00, 1.50e+01, 2.67e+00]
38400 [9.97e+00, 1.50e+01, 2.67e+00]
39000 [9.98e+00, 1.50e+01, 2.67e+00]
39600 [9.98e+00, 1.50e+01, 2.67e+00]
40200 [9.98e+00, 1.50e+01, 2.67e+00]
40800 [9.98e+00, 1.50e+01, 2.67e+00]
